Case,Name,LLM Model,Original code snippet,New code snippet with bugs/changes,Initital self reflection,GenAI label (good/bad),GenAI Guidance,New reflection
1,Aaron Bernstein,Claude Opus 4.7,"X_train, X_test, y_train, y_test, idx_train, idx_test = train_test_split(
    E_scaled_features, E_target_array, indices, test_size=0.2, random_state=42
)","X_train, X_test, y_train, y_test, idx_train, idx_test = train_test_split(
    E_scaled_features, E_target_array, indices, test_size=0.2, random_state=42, shuffle=False
)","When this change was made, I noticed that the MSE test loss was much higher and the number of QB's the model incorrectly evaluated went up. I believe this is because we are testing on a new set of QB's every time so we do not give the model time to learn.",Bad,"train_test_split has a parameter shuffle that defaults to True. When shuffle=True, the function randomly permutes the rows before splitting them into 80% train and 20% test. ","The reason that the MSE test loss went up and we evaluated QB's at a poorer rate was because the model would train on the first 80% of QB's, never seeing the last 20%. Since my sheet was sorted by height, the model never saw a short QB leading to innacurate results during testing"
2,Aaron Bernstein,Claude Opus 4.7,E_Loss_Criterion = nn.MSELoss(),E_Loss_Criterion = nn.BCELoss(),I believe that the reason the test loss was so unbelievably high was due to switching our method of error calculation from Mean squared error to BCE ,Bad,You swapped the loss function from nn.MSELoss() to nn.BCELoss(). These two losses are designed for fundamentally different problems:,"The reason that our test loss went up so much is because we switched from mean squared error loss to Binary Cross-Entropy which is designed for binary classification. If our model evaluated QB's by saying ""good"" or ""bad"", then BCE would work much better"
3,Aaron Bernstein,Claude Opus 4.7,return self.E_Sigmoid(self.E_Output_Layer(x)),return self.E_ReLU(self.E_Output_Layer(x)),We are changing the activation function which will therefore result in different displacement of values defining what is a good and bad QB,Bad,What the change actually does:You swapped the final activation from Sigmoid to ReLU. These two functions have completely different output ranges and shapes:,The sigmoid function crushes number in between 0 and 1 while the ReLU function crunches numbers between 0 and infinity
4,Aaron Bernstein,Claude Opus 4.7,E_Initial_Learning_Rate = 0.01,E_Initial_Learning_Rate = 5.0,"The code runs but the predicted value for every QB is 0. I honestly cannot even think of why this would occur, to me it seems that a higher learning rate would make the model learn more",Bad,"What the change actually does:
The learning rate controls how big a step the optimizer takes in the direction the gradient points during each weight update.","Learning rate is the size of each step the optimizer takes; setting it too high (5.0 instead of 0.01) makes the model leap past the loss minimum every update, weights explode toward infinity, sigmoid then squashes everything to 0, so every QB predicts the same value."
5,Aaron Bernstein,Claude Opus 4.7,optimizer.zero_grad(),#optimizer.zero_grad(),"Every test epoch will affect the next one since we do not reset the values, which is why every value is the same",Bad,"You're directionally right but too vague. ""Affect the next one"" doesn't explain how or why, and it doesn't show you understand what optimizer.zero_grad() does mechanically.","PyTorch adds new gradients on top of old ones by default; optimizer.zero_grad() is what wipes them. Without it, gradients keep stacking every epoch, so the optimizer's step size grows without bound"
6,Aaron Bernstein,Claude Opus 4.7,,,,Bad,,
7,Aaron Bernstein,Claude Opus 4.7,,,,Bad,,
8,Aaron Bernstein,Claude Opus 4.7,,,,Bad,,
9,Aaron Bernstein,Claude Opus 4.7,,,,Bad,,
10,Aaron Bernstein,Claude Opus 4.7,,,,Bad,,